PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
28122645,A variant by any name: quantifying annotation discordance across tools and clinical databases,"Yen JL, Garcia S, Montana A, Harris J, Chervitz S, Morra M, West J, Chen R, Church DM.",Genome Med. 2017 Jan 26;9(1):7. doi: 10.1186/s13073-016-0396-7.,Yen JL,Genome Med,2017,27/01/2017,PMC5267466,,10.1186/s13073-016-0396-7
28224672,PON-P and PON-P2 predictor performance in CAGI challenges: Lessons learned,"Niroula A, Vihinen M.",Hum Mutat. 2017 Sep;38(9):1085-1091. doi: 10.1002/humu.23199. Epub 2017 May 2.,Niroula A,Hum Mutat,2017,23/02/2017,PMC5561442,NIHMS854618,10.1002/humu.23199
28440912,Performance of in silico tools for the evaluation of p16INK4a (CDKN2A) variants in CAGI,"Carraro M, Minervini G, Giollo M, Bromberg Y, Capriotti E, Casadio R, Dunbrack R, Elefanti L, Fariselli P, Ferrari C, Gough J, Katsonis P, Leonardi E, Lichtarge O, Menin C, Martelli PL, Niroula A, Pal LR, Repo S, Scaini MC, Vihinen M, Wei Q, Xu Q, Yang Y, Yin Y, Zaucha J, Zhao H, Zhou Y, Brenner SE, Moult J, Tosatto SCE.",Hum Mutat. 2017 Sep;38(9):1042-1050. doi: 10.1002/humu.23235. Epub 2017 May 16.,Carraro M,Hum Mutat,2017,26/04/2017,PMC5561474,NIHMS871420,10.1002/humu.23235
28511696,"Variant effect prediction tools assessed using independent, functional assay-based datasets: implications for discovery and diagnostics","Mahmood K, Jung CH, Philip G, Georgeson P, Chung J, Pope BJ, Park DJ.",Hum Genomics. 2017 May 16;11(1):10. doi: 10.1186/s40246-017-0104-8.,Mahmood K,Hum Genomics,2017,18/05/2017,PMC5433009,,10.1186/s40246-017-0104-8
28812538,Development of pathogenicity predictors specific for variants that do not comply with clinical guidelines for the use of computational evidence,"de la Campa EÁ, Padilla N, de la Cruz X.",BMC Genomics. 2017 Aug 11;18(Suppl 5):569. doi: 10.1186/s12864-017-3914-0.,de la Campa EÁ,BMC Genomics,2017,17/08/2017,PMC5558188,,10.1186/s12864-017-3914-0
28949076,Rules and tools to predict the splicing effects of exonic and intronic mutations,"Ohno K, Takeda JI, Masuda A.",Wiley Interdiscip Rev RNA. 2018 Jan;9(1). doi: 10.1002/wrna.1451. Epub 2017 Sep 26.,Ohno K,Wiley Interdiscip Rev RNA,2018,27/09/2017,,,10.1002/wrna.1451
29179779,Evaluation of in silico algorithms for use with ACMG/AMP clinical variant interpretation guidelines,"Ghosh R, Oak N, Plon SE.",Genome Biol. 2017 Nov 28;18(1):225. doi: 10.1186/s13059-017-1353-5.,Ghosh R,Genome Biol,2017,29/11/2017,PMC5704597,,10.1186/s13059-017-1353-5
29217828,Frequently used bioinformatics tools overestimate the damaging effect of allelic variants,"Andersen LL, Terczyńska-Dyla E, Mørk N, Scavenius C, Enghild JJ, Höning K, Hornung V, Christiansen M, Mogensen TH, Hartmann R.",Genes Immun. 2019 Jan;20(1):10-22. doi: 10.1038/s41435-017-0002-z. Epub 2017 Dec 4.,Andersen LL,Genes Immun,2019,09/12/2017,,,10.1038/s41435-017-0002-z
29842949,Evaluation of computational techniques for predicting non-synonymous single nucleotide variants pathogenicity,"Hassan MS, Shaalan AA, Dessouky MI, Abdelnaiem AE, ElHefnawi M.",Genomics. 2019 Jul;111(4):869-882. doi: 10.1016/j.ygeno.2018.05.013. Epub 2018 May 26.,Hassan MS,Genomics,2019,30/05/2018,,,10.1016/j.ygeno.2018.05.013
30060008,Performance evaluation of pathogenicity-computation methods for missense variants,"Li J, Zhao T, Zhang Y, Zhang K, Shi L, Chen Y, Wang X, Sun Z.",Nucleic Acids Res. 2018 Sep 6;46(15):7793-7804. doi: 10.1093/nar/gky678.,Li J,Nucleic Acids Res,2018,31/07/2018,PMC6125674,,10.1093/nar/gky678
30659175,Biological relevance of computationally predicted pathogenicity of noncoding variants,"Liu L, Sanderford MD, Patel R, Chandrashekar P, Gibson G, Kumar S.",Nat Commun. 2019 Jan 18;10(1):330. doi: 10.1038/s41467-018-08270-y.,Liu L,Nat Commun,2019,20/01/2019,PMC6338804,,10.1038/s41467-018-08270-y
30742610,How good are pathogenicity predictors in detecting benign variants?,"Niroula A, Vihinen M.",PLoS Comput Biol. 2019 Feb 11;15(2):e1006481. doi: 10.1371/journal.pcbi.1006481. eCollection 2019 Feb.,Niroula A,PLoS Comput Biol,2019,12/02/2019,PMC6386394,,10.1371/journal.pcbi.1006481
30963491,Functional Analysis of Genetic Variants and Somatic Mutations Impacting MicroRNA-Target Recognition: Bioinformatics Resources,"Ziebarth JD, Bhattacharya A, Cui Y.",Methods Mol Biol. 2019;1970:101-120. doi: 10.1007/978-1-4939-9207-2_8.,Ziebarth JD,Methods Mol Biol,2019,10/04/2019,,,10.1007/978-1-4939-9207-2_8
31015822,"Comparison of Predictive In Silico Tools on Missense Variants in GJB2, GJB6, and GJB3 Genes Associated with Autosomal Recessive Deafness 1A (DFNB1A)","Pshennikova VG, Barashkov NA, Romanov GP, Teryutin FM, Solov'ev AV, Gotovtsev NN, Nikanorova AA, Nakhodkin SS, Sazonov NN, Morozov IV, Bondar AA, Dzhemileva LU, Khusnutdinova EK, Posukh OL, Fedorova SA.",ScientificWorldJournal. 2019 Mar 20;2019:5198931. doi: 10.1155/2019/5198931. eCollection 2019.,Pshennikova VG,ScientificWorldJournal,2019,25/04/2019,PMC6446107,,10.1155/2019/5198931
31066132,CAGI experiments: Modeling sequence variant impact on gene splicing using predictions from computational tools,"Gotea V, Margolin G, Elnitski L.",Hum Mutat. 2019 Sep;40(9):1252-1260. doi: 10.1002/humu.23782. Epub 2019 Jun 27.,Gotea V,Hum Mutat,2019,09/05/2019,PMC6744343,NIHMS1028821,10.1002/humu.23782
31066146,Are machine learning based methods suited to address complex biological problems? Lessons from CAGI-5 challenges,"Savojardo C, Babbi G, Bovo S, Capriotti E, Martelli PL, Casadio R.",Hum Mutat. 2019 Sep;40(9):1455-1462. doi: 10.1002/humu.23784. Epub 2019 Jun 18.,Savojardo C,Hum Mutat,2019,09/05/2019,PMC7281835,NIHMS1568237,10.1002/humu.23784
31268618,What went wrong with variant effect predictor performance for the PCM1 challenge,"Miller M, Wang Y, Bromberg Y.",Hum Mutat. 2019 Sep;40(9):1486-1494. doi: 10.1002/humu.23832. Epub 2019 Jul 3.,Miller M,Hum Mutat,2019,04/07/2019,PMC6744297,NIHMS1034174,10.1002/humu.23832
31799076,Evaluation of performance of leading algorithms for variant pathogenicity predictions and designing a combinatory predictor method: application to Rett syndrome variants,"Ganakammal SR, Alexov E.",PeerJ. 2019 Nov 27;7:e8106. doi: 10.7717/peerj.8106. eCollection 2019.,Ganakammal SR,PeerJ,2019,05/12/2019,PMC6884988,,10.7717/peerj.8106
32096919,Analysis of protein missense alterations by combining sequence- and structure-based methods,"Gyulkhandanyan A, Rezaie AR, Roumenina L, Lagarde N, Fremeaux-Bacchi V, Miteva MA, Villoutreix BO.",Mol Genet Genomic Med. 2020 Apr;8(4):e1166. doi: 10.1002/mgg3.1166. Epub 2020 Feb 25.,Gyulkhandanyan A,Mol Genet Genomic Med,2020,26/02/2020,PMC7196459,,10.1002/mgg3.1166
32149466,Benchmarking analysis of deleterious SNP prediction tools on CYP2D6 enzyme,"Ferreira KCDV, Fialho LF, Franco OL, de Alencar SA, Porto WF.",Chem Biol Drug Des. 2020 Sep;96(3):984-994. doi: 10.1111/cbdd.13676.,Ferreira KCDV,Chem Biol Drug Des,2020,10/03/2020,,,10.1111/cbdd.13676
32244891,Consistency of the Tools That Predict the Impact of Single Nucleotide Variants (SNVs) on Gene Functionality: The BRCA1 Gene,"Murillo J, Spetale F, Guillaume S, Bulacio P, Garcia Labari I, Cailloux O, Destercke S, Tapia E.",Biomolecules. 2020 Mar 20;10(3):475. doi: 10.3390/biom10030475.,Murillo J,Biomolecules,2020,05/04/2020,PMC7175253,,10.3390/biom10030475
32843488,Assessing performance of pathogenicity predictors using clinically relevant variant datasets,"Gunning AC, Fryer V, Fasham J, Crosby AH, Ellard S, Baple EL, Wright CF.",J Med Genet. 2021 Aug;58(8):547-555. doi: 10.1136/jmedgenet-2020-107003. Epub 2020 Aug 25.,Gunning AC,J Med Genet,2021,27/08/2020,PMC8327323,,10.1136/jmedgenet-2020-107003
33942434,Benchmarking deep learning splice prediction tools using functional splice assays,"Riepe TV, Khan M, Roosing S, Cremers FPM, 't Hoen PAC.",Hum Mutat. 2021 Jul;42(7):799-810. doi: 10.1002/humu.24212. Epub 2021 May 20.,Riepe TV,Hum Mutat,2021,04/05/2021,PMC8360004,,10.1002/humu.24212
34955381,Evaluating the impact of in silico predictors on clinical variant classification,"Wilcox EH, Sarmady M, Wulf B, Wright MW, Rehm HL, Biesecker LG, Abou Tayoun AN.",Genet Med. 2022 Apr;24(4):924-930. doi: 10.1016/j.gim.2021.11.018. Epub 2021 Dec 23.,Wilcox EH,Genet Med,2022,27/12/2021,PMC9164215,NIHMS1807671,10.1016/j.gim.2021.11.018
35038732,Fitness Effects of Mutations: An Assessment of PROVEAN Predictions Using Mutation Accumulation Data,"Sandell L, Sharp NP.",Genome Biol Evol. 2022 Jan 4;14(1):evac004. doi: 10.1093/gbe/evac004.,Sandell L,Genome Biol Evol,2022,17/01/2022,PMC8790079,,10.1093/gbe/evac004
35189634,Systematic evaluation of computational tools to predict the effects of mutations on protein stability in the absence of experimental structures,"Pan Q, Nguyen TB, Ascher DB, Pires DEV.",Brief Bioinform. 2022 Mar 10;23(2):bbac025. doi: 10.1093/bib/bbac025.,Pan Q,Brief Bioinform,2022,21/02/2022,PMC9155634,,10.1093/bib/bbac025
35224813,An expanded phenotype centric benchmark of variant prioritisation tools,"Anderson D, Lassmann T.",Hum Mutat. 2022 May;43(5):539-546. doi: 10.1002/humu.24362. Epub 2022 Mar 9.,Anderson D,Hum Mutat,2022,28/02/2022,PMC9313608,,10.1002/humu.24362
35272052,Performance comparison of computational methods for the prediction of the function and pathogenicity of non-coding variants,"Wang Z, Zhao G, Li B, Fang Z, Chen Q, Wang X, Luo T, Wang Y, Zhou Q, Li K, Xia L, Zhang Y, Zhou X, Pan H, Zhao Y, Wang Y, Wang L, Guo J, Tang B, Xia K, Li J.",Genomics Proteomics Bioinformatics. 2022 Mar 7:S1672-0229(22)00016-X. doi: 10.1016/j.gpb.2022.02.002. Online ahead of print.,Wang Z,Genomics Proteomics Bioinformatics,2022,10/03/2022,,,10.1016/j.gpb.2022.02.002
35887294,A Comprehensive Evaluation of the Performance of Prediction Algorithms on Clinically Relevant Missense Variants,"Qorri E, Takács B, Gráf A, Enyedi MZ, Pintér L, Kiss E, Haracska L.",Int J Mol Sci. 2022 Jul 19;23(14):7946. doi: 10.3390/ijms23147946.,Qorri E,Int J Mol Sci,2022,27/07/2022,PMC9322961,,10.3390/ijms23147946
36268089,A performance evaluation study: Variant annotation tools - the enigma of clinical next generation sequencing (NGS) based genetic testing,"Tuteja S, Kadri S, Yap KL.",J Pathol Inform. 2022 Jul 28;13:100130. doi: 10.1016/j.jpi.2022.100130. eCollection 2022.,Tuteja S,J Pathol Inform,2022,21/10/2022,PMC9577137,,10.1016/j.jpi.2022.100130
36275637,Comparison of In Silico Tools for Splice-Altering Variant Prediction Using Established Spliceogenic Variants: An End-User's Point of View,"Jang W, Park J, Chae H, Kim M.",Int J Genomics. 2022 Oct 13;2022:5265686. doi: 10.1155/2022/5265686. eCollection 2022.,Jang W,Int J Genomics,2022,24/10/2022,PMC9584665,,10.1155/2022/5265686
36855133,Evaluation of in silico pathogenicity prediction tools for the classification of small in-frame indels,"Cannon S, Williams M, Gunning AC, Wright CF.",BMC Med Genomics. 2023 Feb 28;16(1):36. doi: 10.1186/s12920-023-01454-6.,Cannon S,BMC Med Genomics,2023,01/03/2023,PMC9972633,,10.1186/s12920-023-01454-6
37205456,Benchmarking splice variant prediction algorithms using massively parallel splicing assays,"Smith C, Kitzman JO.",bioRxiv. 2023 May 7:2023.05.04.539398. doi: 10.1101/2023.05.04.539398. Preprint.,Smith C,bioRxiv,2023,19/05/2023,PMC10187268,,10.1101/2023.05.04.539398
37243972,Correspondence between functional scores from deep mutational scans and predicted effects on protein stability,"Gerasimavicius L, Livesey BJ, Marsh JA.",Protein Sci. 2023 Jul;32(7):e4688. doi: 10.1002/pro.4688.,Gerasimavicius L,Protein Sci,2023,27/05/2023,PMC10273344,,10.1002/pro.4688
37353532,An automated framework for evaluation of deep learning models for splice site predictions,"Zabardast A, Tamer EG, Son YA, Yılmaz A.",Sci Rep. 2023 Jun 23;13(1):10221. doi: 10.1038/s41598-023-34795-4.,Zabardast A,Sci Rep,2023,23/06/2023,PMC10290104,,10.1038/s41598-023-34795-4
37511631,Choosing Variant Interpretation Tools for Clinical Applications: Context Matters,"Aguirre J, Padilla N, Özkan S, Riera C, Feliubadaló L, de la Cruz X.",Int J Mol Sci. 2023 Jul 24;24(14):11872. doi: 10.3390/ijms241411872.,Aguirre J,Int J Mol Sci,2023,29/07/2023,PMC10380979,,10.3390/ijms241411872
37569449,Predicting the Effect of Single Mutations on Protein Stability and Binding with Respect to Types of Mutations,"Pandey P, Panday SK, Rimal P, Ancona N, Alexov E.",Int J Mol Sci. 2023 Jul 28;24(15):12073. doi: 10.3390/ijms241512073.,Pandey P,Int J Mol Sci,2023,12/08/2023,PMC10418460,,10.3390/ijms241512073
37745687,A curated census of pathogenic and likely pathogenic UTR variants and evaluation of deep learning models for variant effect prediction,"Bohn E, Lau TTY, Wagih O, Masud T, Merico D.",Front Mol Biosci. 2023 Sep 8;10:1257550. doi: 10.3389/fmolb.2023.1257550. eCollection 2023.,Bohn E,Front Mol Biosci,2023,25/09/2023,PMC10517338,,10.3389/fmolb.2023.1257550
